review_id,reviewer_name,rating,review_text,review_date,review_link
Ci9DQUlRQUNvZENodHljRjlvT2xrM1gxaEtaVTl3V0ZNNVRqSnlNV3BhVVhFeVRWRRAB,Ravikiran Dasari,4,"Food is tasty with multiple options available, I had meals here quantity is good, all items are tasty. Rice quantity could be more. …",2025-09-05T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT2pBMk5VdDFSMHhCYzNaYVZIWm1kV2RUY1RsNE5sRRAB,PRATEEK JAIN,4,"Nice place to have breakfast or snacks.
Ragi Dosa and set dosa are really good. We asked for less ghee and they made it that way. Their sagu is also very tasty.

Tea is costly and not always available. It tastes well though.",2026-01-05T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT2xadmVrUTJkMU5PVmxsc1FYQmpOVWxzWDFobmQyYxAB,PAPPU RAM,5,"Regular here and always impressed with taste and hygiene! Staff is super helpful, recommend trying their poori sagu and filter coffee ☕️""
Great experience! Food was delicious, and place was clean 🧹. Will come back for more Coffees …",2026-01-15T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT2pjM1pXdDRTRFZOZDNZMlNXdEtZM1kxWTNsTU5VRRAB,Trisom Sahu,1,"The food is average at best. Service is slow and there is no customer service. Money collection happens as the first thing and then you have to go fend and fight for your food.
The counter don't give food in sequence but on their whims and fancy.

Visit here if you want to get your morning ruined .",2026-01-29T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT2xCZlRYTmZOa1pRUm1Sa2JYSlFURlJhZG1GMUxWRRAB,Divya B,5,Beautiful ambience and great filter coffee! Very happy with the services. Glad they opened a restaurant right opposite to ibbaluru lake park.,2025-10-05T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT21OTldUWlhNekE0YlU1TWVHNXlWVk51V1dRMVRYYxAB,Saketh Maddamsetty,1,The food quality has drastically decreased in this branch over past few months. Today’s order is the nail in the coffin. Never gonna come to this branch. Peace 🤞,2026-01-29T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT25KVVJIcGxZbGRRTFVoWVdUQnJXVzVpU21OTU5XYxAB,Adit,5,"The food is amazing here, one of the best South Indian ones. All the Doses are good. Specially ghee podi ones
The meals is pretty good though as per the price is overs.
Most recommended place.",2026-01-05T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT2poV1oxZFFYMk4zVEZsVlpuSjZWa05FTjBoUFNIYxAB,harmc,1,"We had dinner at Amudham Restaurant on Sunday (04/01), and the result was food poisoning for our entire family, including children. We experienced severe gut issues and are still recovering. This was an extremely unpleasant experience and reflects poorly on the restaurant’s food safety and hygiene standards. I do not recommend this place at all.",2026-01-15T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT2t3NWRuQXdXV2hrYm1Od2JEUnNibFp4U21ONVptYxAB,personal file,1,"Poor service management. No responsible staff are available in the store, and the same issue is noticed with the cashier. However, the location and the food are good. The management needs to improve staff discipline, introduce proper …",2025-12-05T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT2pCUFMzQjJkMlprUkdOd1UwTm9jRzFZVlZSMGVtYxAB,Karni Singh,5,"Very nice food, service and location. If anybody looking for South Indian quick bites, it's right place. It has nice andhra meals as well. Try their benne dosa, my most favourite.",2026-01-05T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT21aV1RqaGxhVWRZU0VzemIyNW5hamRuV1dWUE5VRRAB,Rutwik Borkar,5,Food is tasty and great place for a quick snack/breakfast. Do try out their button idli variations!!!,2025-09-05T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
Ci9DQUlRQUNvZENodHljRjlvT2pSSWREVmxiekZMY1VwdVpHaEtWemhmYUVkTk5VRRAB,Jayesh Panchal,3,"Tried both Nenis and Amudham recently. Nenis offers an unlimited Andhra full meal for ₹140 — great value and unlimited. But cafe
Amudham at ₹152 feels overpriced — rice quantity is very limited, and definitely not worth the price for a so-called “meal.” Need to improve portion size or reconsider pricing. Rest the taste is good overall for all items..",2025-11-05T22:07:19.322102+05:30,"https://www.google.com/maps/place/Cafe+Amudham+Sarjapur/@12.9219169,77.6627083,17z/data=!4m16!1m9!3m8!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!2sCafe+Amudham+Sarjapur!8m2!3d12.9219117!4d77.6652832!9m1!1b1!16s%2Fg%2F11xp3hb_b6!3m5!1s0x3bae135d0e58f4bb:0x7ecc81121cc72573!8m2!3d12.9219117!4d77.6652832!16s%2Fg%2F11xp3hb_b6?entry=ttu&g_ep=EgoyMDI2MDIwMS4wIKXMDSoKLDEwMDc5MjA2N0gBUAM%3D"
